(4+4)*2 - 12/6 =  14.0  ; 2022-12-13 09:23:47.871245
55/4+22 =  35.75  ; 2022-12-13 09:26:27.884707
4j+1 +1i +1 = (2+5j) ; 2022-12-13 09:28:02.987421
22/2 +3*6 =  29.0  ; 2022-12-13 09:29:52.861113
2+2 =  4.0  ; 2022-12-13 09:35:32.524862
300/(2+50) +15 =  20.76923076923077  ; 2022-12-13 09:36:45.034353
4i+5j -2 -1 = (-3+9j) ; 2022-12-13 09:37:36.117629
(20-2)/2 + 10 =  19.0  ; 2022-12-13 09:43:17.113009
(4+4)*2 - 12/6 =  14.0  ; 2022-12-13 09:44:36.353640
